year;month;day;MPShock;StockShock;MP_pm;CBI_pm;MP_median;CBI_median
2023;12;1;0;0.03;0;0;-0.00136775;0.00136775
2024;1;1;0.25;-0.06;0.25;0;0.1277355;0.1222645
2024;2;1;0;0;0;0;0;0
2024;3;1;0;0.08;0;0;-0.00364733;0.00364733
2024;4;1;0;-0.03;0;0;0.00136775;-0.00136775
2024;5;1;0;0;0;0;0;0
2024;6;1;0;-1.23;0;0;0.05607774;-0.05607774
2024;7;1;0;-0.01;0;0;0.00045592;-0.00045592
2024;8;1;0;0;0;0;0;0
2024;9;1;0;0.01;0;0;-0.00045592;0.00045592
2024;10;1;0;0.17;0;0;-0.00775058;0.00775058
2024;11;1;0;0;0;0;0;0
2024;12;1;0.25;1.09;0;0.25;0.07530509;0.17469491
2025;1;1;0.25;-0.01;0.25;0;0.12545592;0.12454408
2025;2;1;0;0;0;0;0;0
2025;3;1;0;-0.01;0;0;0.00045592;-0.00045592
2025;4;1;-0.25;0.4;-0.25;0;-0.14323666;-0.10676334
2025;5;1;0;0;0;0;0;0
2025;6;1;0;-0.1;0;0;0.00455917;-0.00455917
